buyer_key,buyer_name,award_count,allocated_value,activity_band,value_band,buyer_segment
ID:GB-CFS-312872,BlueLight Commercial,1,184000000.0,1 award,£100M-<£1B,Lower activity / High value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/AB9Ap52c,East Riding of Yorkshire Council,94,180796965.22,50-199 awards,£100M-<£1B,High activity / High value
ID:GB-SRS-supplierregistration.cabinetoffice.gov.uk/nq3G9geC,CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL,3,180607178.0,2-9 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-172132,Ministry of Defence,44,179442652.07,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-321672,Department for Education,25,177139059.23,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-328994,Ministry of Defence,1,176607132.26,1 award,£100M-<£1B,Lower activity / High value
ID:GB-CFS-209532,Ministry of Defence,2,174002008.0,2-9 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-50288,London Borough of Hackney,55,172859740.89,50-199 awards,£100M-<£1B,High activity / High value
ID:GB-SRS-supplierregistration.cabinetoffice.gov.uk/33rD6A8J,GOVERNMENT PROPERTY AGENCY,46,170367226.48,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-319930,Ministry of Defence,2,168374713.0,2-9 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-110469,The Royal Borough of Kingston upon Thames,23,167547071.54,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-67010,Bolton Council,12,165959121.32,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-257613,City of Doncaster Council,151,164026179.14,50-199 awards,£100M-<£1B,High activity / High value
ID:GB-CFS-161309,DVSA - Driver and Vehicle Standards Agency,24,162743702.06,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-41369,Hampshire County Council,336,162685826.21,200+ awards,£100M-<£1B,High activity / High value
ID:GB-CFS-52427,Leicestershire County Council,140,159634827.8,50-199 awards,£100M-<£1B,High activity / High value
ID:GB-CFS-193585,West Hertfordshire Teaching Hospitals NHS Trust,3,159200000.0,2-9 awards,£100M-<£1B,Lower activity / High value
ID:GB-LAE-DUR,Durham County Council,76,157289335.43,50-199 awards,£100M-<£1B,High activity / High value
ID:GB-LAE-SND,Sunderland City Council,38,152359902.62,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-49324,Liverpool City Council,31,147734742.48,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/G3ZV25Cu,WESTWORKS PROCUREMENT LIMITED,28,145936994.75,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-215441,Ministry of Justice,6,144440415.37,2-9 awards,£100M-<£1B,Lower activity / High value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/jxfb36Bw,Southampton City Council,55,142848958.93,50-199 awards,£100M-<£1B,High activity / High value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/73RFyxJw,NHS PROPERTY SERVICES LIMITED,299,142684910.07,200+ awards,£100M-<£1B,High activity / High value
ID:GB-CFS-327930,Kent County Council,1,141373906.0,1 award,£100M-<£1B,Lower activity / High value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/7FXWaRZ8,UNIVERSITY OF ESSEX,25,140844374.84,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-124582,Department for Education,26,139892618.55,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-107820,Bristol City Council,29,136620289.72,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-194591,Ministry of Justice,7,135485500.32999998,2-9 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-188416,Hull City Council,187,133929438.66,50-199 awards,£100M-<£1B,High activity / High value
ID:GB-CFS-26061,Liverpool City Council,61,133585717.3,50-199 awards,£100M-<£1B,High activity / High value
ID:GB-CFS-49287,Devon County Council,64,132969174.98,50-199 awards,£100M-<£1B,High activity / High value
ID:GB-CFS-261922,Food Standards Agency,8,130307868.0,2-9 awards,£100M-<£1B,Lower activity / High value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/2FNT5Nff,Metropolitan Police Service,80,129129103.24,50-199 awards,£100M-<£1B,High activity / High value
ID:GB-CFS-228127,Sellafield Limited,4,128153900.0,2-9 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-227,Nottinghamshire County Council,69,127983081.08,50-199 awards,£100M-<£1B,High activity / High value
ID:GB-CFS-67270,Lincolnshire County Council,6,126686915.0,2-9 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-60507,Herefordshire Council,19,126023968.41,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-50290,London Borough of Hackney,36,122144010.97,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-283247,Home Office,2,120885624.0,2-9 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-289406,Food Standards Agency,7,120834653.0,2-9 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-317406,Supply Chain Coordination Limited,2,120480000.0,2-9 awards,£100M-<£1B,Lower activity / High value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/vpJD4jvD,Health & Safety Executive,21,120444278.5,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-82764,Transport for Greater Manchester,2,120299554.0,2-9 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-150888,Hull City Council,1,120000000.0,1 award,£100M-<£1B,Lower activity / High value
ID:GB-CFS-167801,Commercial Services Kent Limited,1,120000000.0,1 award,£100M-<£1B,Lower activity / High value
ID:GB-CFS-207906,Bournemouth Christchurch and Poole Council,67,119620180.7,50-199 awards,£100M-<£1B,High activity / High value
ID:GB-CFS-48821,London Borough of Barking and Dagenham,2,118800000.0,2-9 awards,£100M-<£1B,Lower activity / High value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/2cy74UBh,The Crown Estate,183,118464371.09,50-199 awards,£100M-<£1B,High activity / High value
ID:GB-CFS-198913,Ministry of Defence,26,116533307.9,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/BGnZ3MDm,HM Land Registry,34,116349142.44,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-185005,North of England Commercial Procurement Collaborative,3,116303070.0,2-9 awards,£100M-<£1B,Lower activity / High value
ID:GB-GOR-D303,Office for National Statistics,113,116075209.73,50-199 awards,£100M-<£1B,High activity / High value
ID:GB-CFS-98892,CPS,39,114618998.6,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-171998,Oxfordshire County Council,10,114554451.1,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-LAE-WLV,Wolverhampton City Council,25,114549615.0,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-229658,National Highways,124,112190967.25,50-199 awards,£100M-<£1B,High activity / High value
ID:GB-CFS-307586,Ministry of Defence,1,109637500.0,1 award,£100M-<£1B,Lower activity / High value
ID:GB-CFS-68597,Wiltshire Council,4,108775293.35,2-9 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-245351,Cumberland Council,14,108546495.33,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-278575,Home Office,14,108324037.25,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-317353,The Mayor and Commonalty and Citizens of the City of London,4,106637649.0,2-9 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-126175,Derbyshire County Council,119,105326075.31,50-199 awards,£100M-<£1B,High activity / High value
ID:GB-SRS-sid4gov.cabinetoffice.gov.uk/Qn752tMx,Surrey County Council,36,104675904.11,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-153915,UK Research & Innovation,104,103801428.67,50-199 awards,£100M-<£1B,High activity / High value
ID:GB-CFS-174779,NHS Digital,3,103750000.0,2-9 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-50691,Leicester City Council,98,103328703.8,50-199 awards,£100M-<£1B,High activity / High value
ID:GB-SRS-supplierregistration.cabinetoffice.gov.uk/sa8J3Dp4,LOCATED PROPERTY LIMITED,2,103095000.0,2-9 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-274423,Cheshire west and Chester Borough Council,32,102524849.96,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-181125,Foreign Commonwealth and Development Office,10,101447134.76,10-49 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-313857,North East Lincolnshire Borough Council,5,100598110.0,2-9 awards,£100M-<£1B,Lower activity / High value
ID:GB-CFS-269055,Surrey Police,4,100287208.54,2-9 awards,£100M-<£1B,Lower activity / High value
